,name,mass,radius,orbper
504,HD 114613 b,0.357,1.182,4000.0
505,HD 114729 A b,0.84,,1135.0
506,HD 114783 b,1.1,,493.7
507,HD 114783 c,0.61,,4318.0
508,HD 11506 b,4.83,,1622.1
509,HD 11506 c,0.408,,223.41
510,HD 115594 b,8.29,,3700.0
511,HD 116029 A b,2.1,,670.2
512,HD 116029 A c,1.27,,907.0
513,HD 117207 b,2.06,,2627.08
514,HD 11755 b,6.5,,433.7
515,HD 117618 b,0.174,,25.8
516,HD 118203 b,2.173,1.133,6.13498
517,HD 118904 b,3.1,,676.7
518,HD 11964 b,0.622,,1945.0
519,HD 11964 c,0.079,,37.91
520,HD 11977 b,6.29,,711.0
521,HD 120084 b,4.5,,2082.0
522,HD 121504 b,1.22,,63.33
523,HD 124330 b,0.75,,270.66
524,HD 12484 b,2.98,,58.83
525,HD 125595 b,0.042,,9.6737
526,HD 125612 b,3.0,,502.0
527,HD 125612 c,0.058,,4.1547
528,HD 125612 d,7.2,,3008.0
529,HD 12648 b,2.9,,133.6
530,HD 126525 b,0.224,,948.12
531,HD 12661 b,2.3,,263.6
532,HD 12661 c,1.57,,1708.0
533,HD 126614 A b,0.38,,1244.0
534,HD 128311 b,2.18,,448.6
535,HD 128311 c,3.21,,919.0
536,HD 128356 b,0.89,,298.2
537,HD 129445 b,1.6,,1840.0
538,HD 130322 b,1.02,,10.72
539,HD 131496 b,2.2,,883.0
540,HD 13167 b,3.31,1.167,2613.0
541,HD 132406 b,5.61,,974.0
542,HD 132563 B b,1.49,,1544.0
543,HD 133131 A b,1.43,,649.0
544,HD 133131 A c,0.48,,3407.0
545,HD 133131 B b,2.5,,6119.0
546,HD 134060 b,0.0351,,3.27
547,HD 134060 c,0.1507,,1160.9
548,HD 134606 b,0.0292,,12.083
549,HD 134606 c,0.0382,,59.519
550,HD 134606 d,0.121,,459.26
551,HD 134987 b,1.59,,258.19
552,HD 134987 c,0.82,,5000.0
553,HD 136352 b,0.0166,0.13222,11.57779
554,HD 136352 c,0.0358,0.183854,27.5909
555,HD 136352 d,0.03,0.2284,107.63
556,HD 136418 b,2.0,,464.3
557,HD 136925 b,0.84,,4540.0
558,HD 137388 b,0.223,,330.0
559,HD 137496 b,0.01271,0.1169,1.62116
560,HD 137496 c,7.66,,479.9
561,HD 13808 b,0.03599,,14.1774
562,HD 13808 c,0.0315,,53.804
563,HD 13908 b,0.865,,19.382
564,HD 13908 c,5.13,,931.0
565,HD 13931 b,1.88,,4218.0
566,HD 139357 b,9.76,,1125.7
567,HD 1397 b,0.415,1.026,11.53533
568,HD 14067 b,7.8,,1455.0
569,HD 141399 b,0.451,,94.44
570,HD 141399 c,1.33,,201.99
571,HD 141399 d,1.18,,1069.8
572,HD 141399 e,0.66,,5000.0
573,HD 141937 b,9.7,,653.22
574,HD 142 A b,1.25,,349.7
575,HD 142 A c,5.3,,6005.0
576,HD 142022 A b,5.1,,1928.0
577,HD 142245 A b,1.9,,1299.0
578,HD 142415 b,1.62,,386.3
579,HD 143105 b,1.21,,2.1974
580,HD 143361 b,3.12,,1057.0
581,HD 143761 b,1.045,,39.8458
582,HD 143761 c,0.079,,102.54
583,HD 145377 b,5.76,,103.95
584,HD 145457 b,2.9,,176.3
585,HD 145934 b,2.28,,2730.0
586,HD 1461 b,0.0203,,5.7715
587,HD 1461 c,0.0176,,13.506
588,HD 147018 b,2.12,,44.236
589,HD 147018 c,6.56,,1008.0
590,HD 147379 b,0.0777,,86.54
